amino,atom,cluster,dist,angle,dihed,prob
PRO,N,N2,2.17213425345994,145.508529715499,20.2144860803173,0.516844907123677
PRO,N,N2,2.03569916057472,137.37394538341,10.5978895876206,0.483155092876323
PRO,N,N3,2.21097689382861,146.950558642878,20.5806317636736,1
PRO,O,N1,3.23983182730923,153.051197289156,120.35375502008,1
PRO,O,N2,2.68955831967925,118.11471019898,-149.540221112886,0.406020814416428
PRO,O,N2,3.1125186127343,143.433224035928,123.983025568948,0.593979185583572
PRO,O,N3,2.72481568858738,118.510448245355,-127.89693895606,1
TYR,CB,N1,0.811748291571754,62.7026993166288,96.8764085041757,1
TYR,CB,N2,1.20298557917814,92.4298507141865,105.675533854742,0.380959173535562
TYR,CB,N2,0.761788660769515,59.2110831896274,92.7849717797986,0.304660130619436
TYR,CB,N2,1.0933753649687,85.4199598753815,93.8390958425792,0.314380695845
TYR,CB,N3,1.17459499263623,90.0471035837012,101.65058419244,1
TYR,C,N1,2.24676238738738,146.094767267267,148.72982545045,1
TYR,C,N2,2.20638598992129,143.364561971485,-160.863132176152,0.37364384069999
TYR,C,N2,2.22560152748972,144.893315736229,159.184598198649,0.367784442914741
TYR,C,N2,2.1423013824376,139.69769801527,-168.344681143729,0.258571716385268
TYR,C,N3,2.21423923444981,143.192272727273,-139.114660287081,1
TYR,CD1,N1,2.42662626832198,36.4876102751898,-45.8261195606951,0.398865970856647
TYR,CD1,N1,3.16255127256002,86.3867876336414,101.049059805224,0.272477548513732
TYR,CD1,N1,2.72462700485731,58.4743170556804,21.5417761107365,0.208763859991564
TYR,CD1,N1,2.51088559602609,49.0999628896351,-152.161057978114,0.119892620638058
TYR,CD1,N2,2.96087816874716,72.3829298419407,40.6855095131592,0.225577792820252
